,index,winner_name,winner_hand,winner_ht,winner_age,score,tourney_name,minutes,loser_name,loser_hand,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points
538,922,Ons Jabeur,R,167.0,29.6,7-5 2-6 6-4,Madrid,144.0,Leylah Fernandez,L,168.0,21.6,9.0,3533.0,35.0,1520.0
539,923,Yulia Putintseva,R,163.0,29.2,6-2 6-2,Madrid,67.0,Caroline Dolehide,R,178.0,25.6,50.0,1213.0,56.0,1142.0
540,924,Daria Kasatkina,R,170.0,26.9,7-6(5) 7-5,Madrid,112.0,Anastasia Pavlyuchenkova,R,177.0,32.8,11.0,3313.0,22.0,2161.0
541,926,Elena Rybakina,R,184.0,24.8,6-1 6-4,Madrid,90.0,Mayar Sherif,R,180.0,27.9,4.0,6293.0,72.0,924.0
542,928,Jasmine Paolini,R,160.0,28.2,6-3 6-2,Madrid,63.0,Caroline Garcia,R,177.0,30.5,13.0,2938.0,24.0,2068.0
543,929,Danielle Collins,R,178.0,30.3,3-6 6-4 6-1,Madrid,121.0,Jaqueline Cristian,R,180.0,25.8,15.0,2639.0,73.0,923.0
544,932,Sorana Cirstea,R,176.0,34.0,6-3 6-7(6) 6-4,Madrid,137.0,Alexandra Eala,L,173.0,18.9,30.0,1748.0,170.0,440.0
545,933,Victoria Azarenka,R,180.0,34.7,6-3 6-1,Madrid,81.0,Tatjana Maria,R,172.0,36.7,26.0,1969.0,67.0,1019.0
546,934,Sara Sorribes Tormo,R,176.0,27.5,6-3 7-5,Madrid,132.0,Elina Svitolina,R,174.0,29.6,55.0,1148.0,18.0,2457.0
547,935,Beatriz Haddad Maia,L,185.0,27.8,6-3 6-2,Madrid,76.0,Sara Errani,R,164.0,36.9,14.0,2830.0,100.0,742.0
548,937,Sloane Stephens,R,170.0,31.0,3-6 6-3 6-1,Madrid,139.0,Elise Mertens,R,179.0,28.4,33.0,1625.0,29.0,1794.0
549,938,Maria Sakkari,R,172.0,28.7,6-3 6-2,Madrid,83.0,Donna Vekic,R,179.0,27.8,6.0,4195.0,38.0,1443.0
550,939,Coco Gauff,R,175.0,20.1,6-0 6-0,Madrid,51.0,Arantxa Rus,L,180.0,33.3,3.0,7258.0,47.0,1222.0
551,941,Madison Keys,R,178.0,29.1,7-6(3) 7-6(6),Madrid,131.0,Irina Camelia Begu,R,181.0,33.6,20.0,2298.0,128.0,612.0
552,942,Liudmila Samsonova,R,180.0,25.4,6-2 4-6 7-5,Madrid,142.0,Naomi Osaka,R,180.0,26.5,17.0,2550.0,197.0,389.0
553,945,Leylah Fernandez,L,168.0,21.6,7-5 6-3,Madrid,91.0,Anastasia Potapova,R,175.0,23.0,35.0,1520.0,39.0,1377.0
554,946,Ons Jabeur,R,167.0,29.6,6-4 5-7 6-3,Madrid,148.0,Anna Karolina Schmiedlova,R,176.0,29.6,9.0,3533.0,68.0,1000.0
555,948,Caroline Dolehide,R,178.0,25.6,6-7(6) 6-2 6-3,Madrid,169.0,Anhelina Kalinina,R,179.0,27.2,56.0,1142.0,32.0,1666.0
556,949,Anastasia Pavlyuchenkova,R,177.0,32.8,6-1 6-4,Madrid,87.0,Daria Saville,R,166.0,30.1,22.0,2161.0,96.0,751.0
557,951,Ashlyn Krueger,R,185.0,19.9,6-3 6-3,Madrid,79.0,Ekaterina Alexandrova,R,175.0,29.4,70.0,980.0,16.0,2560.0
558,953,Mayar Sherif,R,180.0,27.9,6-2 7-5,Madrid,94.0,Marta Kostyuk,R,175.0,21.8,72.0,924.0,21.0,2235.0
559,955,Marketa Vondrousova,L,173.0,24.8,6-1 6-3,Madrid,77.0,Shelby Rogers,R,175.0,31.5,7.0,4090.0,352.0,185.0
560,957,Caroline Garcia,R,177.0,30.5,6-1 6-4,Madrid,76.0,Xin Yu Wang,R,182.0,22.5,24.0,2068.0,42.0,1346.0
561,960,Jaqueline Cristian,R,180.0,25.8,2-6 6-0 6-2,Madrid,126.0,Barbora Krejcikova,R,178.0,28.3,73.0,923.0,27.0,1942.0
562,962,Aryna Sabalenka,R,182.0,25.9,6-4 3-6 6-3,Madrid,129.0,Magda Linette,R,171.0,32.1,2.0,7848.0,48.0,1218.0
563,964,Alexandra Eala,L,173.0,18.9,2-6 6-4 6-4,Madrid,140.0,Lesia Tsurenko,R,174.0,34.8,170.0,440.0,41.0,1363.0
564,966,Sara Sorribes Tormo,R,176.0,27.5,7-5 6-2,Madrid,114.0,Bernarda Pera,L,175.0,29.3,55.0,1148.0,79.0,910.0
565,967,Sara Errani,R,164.0,36.9,3-6 7-5 7-5,Madrid,168.0,Caroline Wozniacki,R,177.0,33.7,100.0,742.0,117.0,655.0
566,968,Nadia Podoroska,R,170.0,27.1,6-2 7-6(2),Madrid,93.0,Katerina Siniakova,R,174.0,27.9,66.0,1051.0,40.0,1377.0
567,969,Sloane Stephens,R,170.0,31.0,6-3 5-7 6-4,Madrid,196.0,Martina Trevisan,L,160.0,30.4,33.0,1625.0,76.0,918.0
568,970,Donna Vekic,R,179.0,27.8,6-1 6-2,Madrid,79.0,Laura Siegemund,R,168.0,36.1,38.0,1443.0,83.0,849.0
569,978,Anna Karolina Schmiedlova,R,176.0,29.6,6-3 6-4,Madrid,78.0,Sofia Kenin,R,170.0,25.4,68.0,1000.0,60.0,1080.0
570,979,Yulia Putintseva,R,163.0,29.2,6-2 6-4,Madrid,87.0,Yue Yuan,R,184.0,25.5,50.0,1213.0,37.0,1480.0
571,983,Ashlyn Krueger,R,185.0,19.9,6-4 6-4,Madrid,87.0,Nao Hibino,R,163.0,29.3,70.0,980.0,85.0,823.0
